URL,Strategy,Performance,Accessibility,Best Practices,SEO,LCP (ms),FID (ms),CLS,FCP (ms),TTI (ms),Speed Index,Total Blocking Time (ms)
https://brainco-website-seo.vercel.app/en-US/health/focus-zen,desktop,66,98,88,92,1541,79,0.889,281,1768,2287,25
https://brainco-website-seo.vercel.app/en-US/health/focus-xin,mobile,54,96,96,92,4901,134,1.002,1201,5244,5060,60
https://brainco-website-seo.vercel.app/en-US/health/focus-xin,desktop,68,95,92,92,1524,93,0.974,281,1605,1623,46
https://brainco-website-seo.vercel.app/en-US/health/starkids,mobile,52,95,92,92,5151,83,1.002,1201,5173,5323,41
https://brainco-website-seo.vercel.app/en-US/health/starkids,desktop,72,94,92,92,744,107,0.882,281,1077,1935,29
https://brainco-website-seo.vercel.app/en-US/education/brain-ai,mobile,51,100,96,92,5087,99,1.002,1201,5510,6025,63
https://brainco-website-seo.vercel.app/en-US/education/brain-ai,desktop,55,100,92,92,2683,68,0.882,281,2723,2500,27
https://brainco-website-seo.vercel.app/en-US/about,mobile,92,100,92,92,2776,74,0.001,1201,3259,5008,20
https://brainco-website-seo.vercel.app/en-US/about,desktop,94,100,96,92,816,96,0.000,281,1150,2537,24
https://brainco-website-seo.vercel.app/en-US/contact,mobile,93,98,92,92,2739,62,0.001,1201,3165,4630,6
https://brainco-website-seo.vercel.app/en-US/contact,desktop,94,100,100,92,762,55,0.000,387,880,2455,5
https://brainco-website-seo.vercel.app/en-US/company,mobile,99,100,96,92,1951,124,0.000,1201,3417,2536,60
https://brainco-website-seo.vercel.app/en-US/company,desktop,100,100,96,92,521,52,0.006,281,709,664,1
https://brainco-website-seo.vercel.app/en-US/technology,mobile,94,95,92,85,2851,110,0.001,1201,3306,3923,44
https://brainco-website-seo.vercel.app/en-US/technology,desktop,97,100,92,85,806,76,0.000,281,860,1723,26
https://brainco-website-seo.vercel.app/en-US/news,mobile,70,92,96,92,5495,122,0.000,1352,11395,11323,46
https://brainco-website-seo.vercel.app/en-US/news,desktop,91,96,100,92,724,84,0.000,337,2082,3447,25
https://brainco-website-seo.vercel.app/en-US/recruit,mobile,87,100,92,100,3545,136,0.001,1513,4245,4591,80
https://brainco-website-seo.vercel.app/en-US/recruit,desktop,91,100,96,100,891,57,0.017,371,12078,3388,39
https://brainco-website-seo.vercel.app/en-US/recruit/jobs,mobile,95,96,96,92,2811,58,0.000,1201,3487,2783,12
https://brainco-website-seo.vercel.app/en-US/recruit/jobs,desktop,100,100,92,92,538,73,0.000,281,1124,1011,16
https://brainco-website-seo.vercel.app/en-US/easleep-specification,mobile,80,100,96,100,3301,66,0.106,1201,3301,9361,16
https://brainco-website-seo.vercel.app/en-US/easleep-specification,desktop,92,97,96,100,780,50,0.004,281,782,3136,0
